iter	Passed	Remaining
914	1580	146
915	1582	145
916	1583	143
917	1585	141
918	1586	139
919	1588	138
920	1589	136
921	1591	134
922	1592	132
923	1595	131
924	1597	129
925	1598	127
926	1600	126
927	1601	124
928	1603	122
929	1604	120
930	1606	119
931	1608	117
932	1610	115
933	1611	113
934	1613	112
935	1615	110
936	1617	108
937	1618	106
938	1620	105
939	1622	103
940	1624	101
941	1625	100
942	1627	98
943	1628	96
944	1630	94
945	1631	93
946	1632	91
947	1634	89
948	1635	87
949	1636	86
950	1638	84
951	1640	82
952	1642	81
953	1644	79
954	1646	77
955	1647	75
956	1649	74
957	1650	72
958	1652	70
959	1654	68
960	1656	67
961	1658	65
962	1659	63
963	1661	62
964	1662	60
965	1664	58
966	1665	56
967	1668	55
968	1669	53
969	1671	51
970	1672	49
971	1674	48
972	1675	46
973	1677	44
974	1678	43
975	1680	41
976	1681	39
977	1683	37
978	1685	36
979	1687	34
980	1688	32
981	1690	30
982	1691	29
983	1693	27
984	1694	25
985	1696	24
986	1698	22
987	1700	20
988	1701	18
989	1703	17
990	1704	15
991	1706	13
992	1707	12
993	1709	10
994	1710	8
995	1712	6
996	1714	5
997	1716	3
998	1717	1
999	1719	0
